NIfTI,bval,bvec
63,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
63,63,63
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
69,69,69
